title,releaseDate,budget,boxOffice,runtime,movieLanguage
Recollections of Pavlovsk,1999-09-19,,,,Russian
Up,1999-09-19,,,14,English
The Painted Door,1999-09-19,,,24,English
Charade,1984-04-10,,,5,English
Paradise,1999-09-19,,,14,nan
Indiana Jones and the Temple of Doom,1984-05-08,28170000,333100000,118,English
Purple Rain,1984-07-27,7200000,70300000,111,English
The Muppets Take Manhattan,1984-07-13,8000000,25500000,94,English
Songwriter,1984-10-12,8600000,865915,94,English
The Woman in Red,1984-08-15,9000000,25300000,86,English
Against All Odds,1984-03-02,13000000,21700000,121,English
Footloose,1984-02-17,7500000,80000000,107,English
Ghostbusters,1984-06-08,,370000000,105,English
2010: The Year We Make Contact,1984-12-07,28000000,40400000,116,English
Dune,1984-12-03,,,137,English
The Cotton Club,1984-12-14,58000000,25900000,128,English
Romancing the Stone,1984-03-30,10000000,115100000,106,English
Out of Africa,1985-12-18,31000000,227500000,161,English
The Color Purple,1985-12-18,15000000,98400000,154,English
Kiss of the Spider Woman,1985-05-13,1500000,17000000,121,English
Prizzi's Honor,1985-06-14,16000000,26600000,129,English
Witness,1985-02-08,12000000,116100000,112,English
Ran,1985-05-31,,19000000,162,Japanese
Murphy's Romance,1985-12-25,13000000,30762621,107,English
Runaway Train,1985-12-06,9000000,7700000,110,English
The Trip to Bountiful,1985-12-20,,7491903,108,English
Agnes of God,1985-08-21,7500000,25600000,99,English
Sweet Dreams,1985-10-04,13500000,9100000,115,English
Cocoon,1985-06-21,17500000,85300000,117,English
Jagged Edge,1985-10-04,15000000,40500000,109,English
Twice in a Lifetime,1985-05-09,8000000,8402424,111,English
Back to the Future,1985-07-03,19000000,388800000,116,English
Brazil,1985-02-20,15000000,9900000,142,English
The Official Story,1985-04-03,,,112,Spanish
The Purple Rose of Cairo,1999-09-19,15000000,10600000,82,English
Angry Harvest,1985-02-20,,,105,German
Colonel Redl,1985-02-20,,,144,German
Trois hommes et un couffin,1999-09-19,,,106,French
When Father Was Away on Business,1985-01-15,,,136,Serbo-Croatian
Broken Rainbow,1999-09-19,,,70,English
The Mothers of Plaza de Mayo,1999-09-19,,,64,Spanish
Soldiers in Hiding,1999-09-19,,,53,English
The Statue of Liberty,1985-10-28,,,60,English
Unfinished Business,1999-09-19,,,60,English
Witness to War: Dr. Charlie Clements,1999-09-19,,,29,English
The Courage to Care,1999-09-19,,,,English
Keats and His Nightingale: A Blind Date,1999-09-19,,,,English
Making Overtures: The Story of a Community Orchestra,1999-09-19,,,28,English
The Wizard of the Strings,1999-09-19,,,27,English
Molly's Pilgrim,1999-09-19,,,24,English
Anna & Bella,1984-11-10,,,8,Dutch
The Big Snit,1999-09-19,,,10,English
Silverado,1985-07-10,23000000,32192570,133,English
White Nights,1985-11-08,,42200000,136,English
A Chorus Line,1985-12-09,25000000,14200000,118,English
Ladyhawke,1985-04-12,20000000,18400000,121,English
Rambo: First Blood Part II,1985-05-22,25500000,300400000,96,English
Mask,1985-03-08,,48200000,120,English
Remo Williams: The Adventure Begins,1985-10-11,,14400000,116,English
The Journey of Natty Gann,1985-09-27,8000000,9700000,101,English
Return to Oz,1985-06-21,28000000,11100000,113,English
Young Sherlock Holmes,1985-12-04,18000000,63700000,109,English
Platoon,1986-12-19,6000000,138500000,120,English
Children of a Lesser God,1986-10-03,10500000,101500000,114,English
Hannah and Her Sisters,1986-01-25,6400000,40100000,106,English
The Mission,1986-05-16,16500000,17200000,125,English
A Room with a View,1985-12-13,,21000000,117,English
Blue Velvet,1986-09-12,6000000,8600000,120,nan
The Color of Money,1986-10-17,14500000,52300000,120,English
Round Midnight,1986-09-12,3000000,10000000,133,English
Mona Lisa,1986-06-13,,4107000,104,English
Salvador,1986-03-05,4500000,1500000,123,English
The Morning After,1986-12-25,15000000,25100000,103,English
Crimes of the Heart,1986-12-12,20000000,22900000,105,English
Peggy Sue Got Married,1986-10-10,18000000,41500000,103,English
Aliens,1986-07-18,18500000,,137,English
Hoosiers,1986-11-14,6000000,28600000,115,English
Crocodile Dundee,1986-04-24,8800000,328000000,104,English
My Beautiful Laundrette,1985-09-07,650000,3000000,97,English
Stand by Me,1986-08-08,,52300000,89,English
The Assault,1986-02-06,,,144,Dutch
38 – Auch das war Wien,1999-09-19,,,97,German
Betty Blue,1986-04-09,,2000000,120,French
The Decline of the American Empire,1986-06-19,1800000,30000000,101,French
My Sweet Little Village,1999-09-19,,,98,Czech
Artie Shaw: Time Is All You've Got,1985-10-25,,,115,English
Down and Out in America,1999-09-19,,,57,English
Chile: When Will It End?,1999-09-19,,,57,Spanish
Isaac in America: A Journey with Isaac Bashevis Singer,1986-09-28,,,58,English
Witness to Apartheid,1999-09-19,,,58,English
"Women - for America, for the World",1999-09-19,,,30,English
Debonair Dancers,1999-09-19,,,,English
The Masters of Disaster,1999-09-19,,,,English
Red Grooms: Sunflower in a Hothouse,1999-09-19,,,21,English
Sam,1999-09-19,,,22,English
Precious Images,1999-09-19,,,8,English
A Greek Tragedy,1999-09-19,,,7,Dutch
"The Frog, the Dog and the Devil",1999-09-19,,,10,English
Luxo Jr.,1986-08-17,,,2,nan
Star Trek IV: The Voyage Home,1986-11-26,,133000000,122,English
Top Gun,1986-05-12,15000000,357300000,109,English
The Karate Kid Part II,1986-06-20,12500000,130000000,113,English
That's Life!,1986-10-10,10000000,4000000,102,English
Little Shop of Horrors,1986-12-19,25000000,54000000,94,English
An American Tail,1986-11-21,9000000,84000000,81,English
Heartbreak Ridge,1986-12-05,15000000,121700000,130,English
The Fly,1986-08-15,,60600000,96,English
The Clan of the Cave Bear,1986-01-17,18000000,2000000,98,English
Legend,1985-08-28,25000000,23500000,89,English
Otello,1986-08-28,,,122,Italian
Pirates,1986-05-08,40000000,,112,English
Poltergeist II: The Other Side,1986-05-23,19000000,75000000,91,English
The Last Emperor,1987-10-04,23800000,44000000,163,English
Broadcast News,1987-12-16,15000000,67300000,133,English
Fatal Attraction,1987-09-18,14000000,320100000,119,English
Hope and Glory,1987-10-16,,10000000,113,English
Moonstruck,1987-12-18,15000000,122100000,102,English
My Life as a Dog,1985-12-12,,8300000,101,Swedish
Wall Street,1987-12-11,16500000,43800000,126,English
Dark Eyes,1987-09-09,,,118,Italian
Ironweed,1987-12-18,27000000,7300000,143,English
"Good Morning, Vietnam",1987-12-23,13000000,123900000,121,English
Anna,1987-10-02,1000000,1200000,100,English
The Untouchables,1987-06-02,25000000,106200000,119,English
Street Smart,1987-03-20,6000000,1119112,97,nan
Cry Freedom,1987-11-06,29000000,15000000,157,English
Gaby: A True Story,1987-10-30,,125400,110,English
Throw Momma from the Train,1987-12-11,14000000,57900000,88,English
The Whales of August,1987-10-16,3000000,1300000,90,English
Au revoir les enfants,1987-08-29,,4500000,104,French
Radio Days,1987-01-30,16000000,14800000,85,English
The Dead,1987-12-18,,4370078,83,English
Full Metal Jacket,1987-06-17,,120000000,116,English
Babette's Feast,1987-08-28,,4400000,102,Danish
Course Completed,1987-04-23,,,94,Spanish
La famigliaThe Family,1987-01-22,,,137,Italian
Pathfinder,1987-09-03,17000000,17500000,86,Northern
The Ten-Year Lunch,1999-09-19,,,56,English
Hellfire: A Journey from Hiroshima,1999-09-19,,,58,English
Radio Bikini,1988-06-10,,,56,English
A Stitch for Time,1999-09-19,,,,English
Young at Heart,1999-09-19,,,29,English
Frances Steloff: Memoirs of a Bookseller,1999-09-19,,,28,English
In the Wee Wee Hours...,1999-09-19,,,20,English
Language Says It All,1999-09-19,,,,English
Silver into Gold,1999-09-19,,,,English
Ray's Male Heterosexual Dance Hall,1999-09-19,,,23,English
The Man Who Planted Trees,1999-09-19,,,30,French
George and Rosemary,1999-09-19,,,7,English
Your Face,1999-09-19,,,3,English
Empire of the Sun,1987-12-11,25000000,66700000,154,English
The Witches of Eastwick,1987-06-12,22000000,103000000,118,English
Dirty Dancing,1987-05-12,4500000,214000000,100,English
Mannequin,1987-02-13,7900000,42700000,90,English
Beverly Hills Cop II,1987-05-19,27000000,299970000,103,English
The Princess Bride,1987-09-25,16000000,30900000,98,English
Lethal Weapon,1987-03-06,15000000,120200000,112,English
RoboCop,1987-07-17,13700000,53400000,102,English
Matewan,1987-08-28,,2000000,132,English
Harry and the Hendersons,1987-06-05,10000000,50000000,110,English
Happy New Year,1987-08-07,,41000,85,English
Maurice,1987-09-05,1580000,,140,English
Innerspace,1987-07-01,27000000,95000000,120,English
Predator,1987-06-12,,98300000,107,English
Rain Man,1988-12-16,25000000,354800000,134,English
The Accidental Tourist,1988-12-23,15000000,32600000,121,English
Dangerous Liaisons,1988-12-21,14000000,34700000,119,English
Mississippi Burning,1988-12-02,15000000,34600000,128,English
Working Girl,1988-12-21,28000000,103000000,113,English
A Fish Called Wanda,1988-07-07,7500000,188600000,108,English
The Last Temptation of Christ,1988-08-12,7000000,33800000,163,English
Big,1988-06-03,18000000,151700000,104,English
Stand and Deliver,1988-02-13,1600000,13900000,102,English
Pelle the Conqueror,1987-12-25,4500000,2053931,157,Scanian
The Accused,1988-10-14,13000000,32100000,111,English
Evil Angels,1988-11-03,15000000,6900000,121,English
Gorillas in the Mist,1988-09-23,22000000,61100000,129,English
Little Dorrit,1987-12-11,,1025228,343,English
Tucker: The Man and His Dream,1988-08-12,,19700000,110,English
Running on Empty,1988-09-09,7000000,2800000,116,English
Married to the Mob,1988-08-19,10000000,21400000,104,English
Bull Durham,1988-06-15,9000000,50900000,108,English
The Unbearable Lightness of Being,1988-02-05,17000000,10000000,171,English
Hanussen,1988-10-06,59701,82635,140,"Hungarian,"
The Music Teacher,1999-09-19,,,99,French
Salaam Bombay!,1988-05-11,450000,,113,Hindi
Women on the Verge of a Nervous Breakdown,1988-03-25,700000,,89,Spanish
Hotel Terminus: The Life and Times of Klaus Barbie,1988-05-10,,341018,267,French
The Cry of Reason: Beyers Naude - An Afrikaner Speaks Out,1999-09-19,,,58,English
Let's Get Lost,1988-09-15,,477113,120,English
Promises to Keep,1999-09-19,,,,English
Who Killed Vincent Chin?,1999-09-19,,,87,English
You Don't Have to Die,1999-09-19,,,,English
The Children's Storefront,1999-09-19,,,14,English
Family Gathering,1988-03-05,,,30,English
Gang Cops,1999-09-19,,,,English
Portrait of Imogen,1999-09-19,,,30,English
The Appointments of Dennis Jennings,1988-09-07,,,29,English
Tin Toy,1988-08-02,300000,,5,nan
The Cat Came Back,1988-06-22,,,8,English
Technological Threat,1988-04-16,,,5,English
The Milagro Beanfield War,1988-03-18,22000000,13825794,117,English
Bagdad Cafe,1987-11-12,,,108,English
Buster,1988-09-15,,4200000,102,English
Bird,1988-05-21,,2000000,160,English
Die Hard,1988-07-12,,,132,English
Who Framed Roger Rabbit,1988-06-21,50600000,351500000,104,English
Willow,1988-05-20,35000000,137600000,126,English
Beaches,1988-12-21,20000000,57000000,123,English
Beetlejuice,1988-03-30,15000000,84600000,92,English
Coming to America,1988-06-29,36000000,,117,English
Scrooged,1988-11-23,32000000,100300000,100,English
A Handful of Dust,1988-06-14,2700000,1500000,118,English
Sunset,1988-04-29,,4600000,107,English
Tequila Sunrise,1988-12-02,,105900000,115,English
Driving Miss Daisy,1989-12-15,7500000,145800000,99,English
Born on the Fourth of July,1989-12-20,17800000,162000000,145,English
Dead Poets Society,1989-06-02,16400000,235900000,128,English
Field of Dreams,1989-05-05,15000000,84400000,106,English
My Left Foot,1989-02-24,600000,14700000,103,English
Crimes and Misdemeanors,1989-10-13,,18300000,104,English
Henry V,1989-10-06,9000000,10200000,137,English
Camille Claudel,1988-12-07,,23700000,175,French
Shirley Valentine,1989-08-24,,38000000,108,English
Music Box,1989-12-22,18000000,6300000,124,English
The Fabulous Baker Boys,1989-10-13,11500000,18400000,114,English
Glory,1989-12-15,18000000,27000000,122,English
Do the Right Thing,1989-05-19,6200000,37300000,120,English
A Dry White Season,1989-09-22,9000000,3766879,107,English
"Enemies, A Love Story",1989-12-13,9500000,16000000,119,English
Steel Magnolias,1989-11-15,15000000,96800000,118,English
Parenthood,1989-08-02,20000000,126000000,124,English
"Sex, Lies, and Videotape",1989-01-20,1200000,36700000,100,English
When Harry Met Sally...,1989-07-21,16000000,92800000,95,English
Cinema Paradiso,1988-11-17,5000000,36000000,155,Italian
Jesus of Montreal,1989-05-17,4200000,3000000,118,French
Waltzing Regitze,1989-11-17,,,87,Danish
Lo que le pasó a Santiago,1999-09-19,500000,,105,Puerto
Common Threads: Stories from the Quilt,1999-09-19,,,79,English
Adam Clayton Powell,1999-09-19,,,54,English
Crack USA: County Under Siege,1999-09-19,,,42,English
For All Mankind,1989-11-01,,,80,English
Super Chief: The Life and Legacy of Earl Warren,1999-09-19,,,88,English
The Johnstown Flood,1999-09-19,,,26,English
"Fine Food, Fine Pastries, Open 6 to 9",1999-09-19,,,29,English
Yad Vashem: Preserving the Past to Ensure the Future,1999-09-19,,,,English
Work Experience,1999-09-19,,,11,English
Balance,1999-09-19,,,7,nan
The Little Mermaid,1989-11-17,40000000,235000000,83,English
Indiana Jones and the Last Crusade,1989-05-24,48000000,474200000,128,English
Chances Are,1989-03-10,16000000,16300000,108,English
Black Rain,1989-09-22,30000000,134200000,125,English
Lethal Weapon 2,1989-07-07,30000000,227900000,114,English
The Abyss,1989-08-09,,90000000,140,English
Batman,1989-06-19,48000000,411600000,126,English
The Adventures of Baron Munchausen,1988-12-08,46600000,8100000,126,English
Blaze,1989-12-13,22000000,19131246,117,English
Dad,1989-10-27,19000000,27000000,117,English
Harlem Nights,1989-11-17,30000000,60900000,116,English
Valmont,1989-11-17,,1132112,137,English
The Bear,1988-10-19,,,94,English
Back to the Future Part II,1989-11-22,40000000,332500000,108,English
Dances With Wolves,1990-10-19,22000000,424200000,181,English
Awakenings,1990-12-22,29000000,108700000,121,English
Ghost,1990-07-13,,505700000,127,English
The Godfather Part III,1990-12-20,54000000,136900000,162,English
GoodFellas,1990-09-09,25000000,47100000,146,English
The Grifters,1990-12-07,,13400000,110,English
Reversal of Fortune,1990-09-12,,15400000,111,English
Cyrano de Bergerac,1990-03-28,15300000,41300000,137,French
The Field,1990-09-21,5000000,1600000,107,English
Misery,1990-11-30,,61300000,107,English
Pretty Woman,1990-03-23,14000000,463400000,119,English
Postcards from the Edge,1990-09-14,22000000,63400000,101,English
Mr. & Mrs. Bridge,1990-11-23,7200000,7700000,126,English
Longtime Companion,1989-10-11,3000000,4609953,100,English
Dick Tracy,1990-06-14,46000000,162700000,105,English
Wild at Heart,1990-05-19,10000000,14600000,124,English
Alice,1990-12-25,12000000,7300000,106,English
Avalon,1990-10-05,20000000,15700000,126,English
Green Card,1990-12-23,12500000,38000000,107,English
Metropolitan,1990-01-20,225000,7000000,98,English
Journey of Hope,1999-09-19,,,110,Turkish
Ju Dou,1999-09-19,,,95,nan
Das schreckliche Mädchen(The Nasty Girl),1990-02-15,,,94,German
Porte aperte,1990-03-29,,252000,108,Italian
American Dream,1990-10-06,,269823,100,English
Berkeley in the Sixties,1990-09-26,,,118,English
Building Bombs,1989-09-09,,,54,English
Forever Activists,1999-09-19,,,60,English
Waldo Salt: A Screenwriter's Journey,1999-09-19,,,,English
Days of Waiting,1999-09-19,,,28,English
Burning Down Tomorrow,1999-09-19,,,10,English
Chimps: So Like Us,1999-09-19,,,,English
Journey into Life: The World of the Unborn,1999-09-19,,,25,English
Rose Kennedy: A Life to Remember,1999-09-19,,,,English
The Lunch Date,1999-09-19,,,10,English
12:01 PM,1999-09-19,,,25,English
Dear Rosie,1991-03-15,,,11,English
Creature Comforts,1999-09-19,,,,nan
A Grand Day Out,1989-11-04,11000,,23,English
Grasshoppers (Cavallette),1990-03-06,,,9,Italian
Havana,1990-12-12,40000000,9600000,144,English
Home Alone,1990-11-10,18000000,476700000,103,English
Young Guns II,1990-08-01,,59000000,104,English
Days of Thunder,1990-06-27,60000000,157900000,108,English
The Hunt for Red October,1990-03-02,30000000,200500000,135,English
Total Recall,1990-06-01,,261400000,113,English
Flatliners,1990-08-10,26000000,61500000,114,English
Hamlet,1990-12-19,12600000,22300000,134,English
Edward Scissorhands,1990-12-06,20000000,86000000,105,English
Henry & June,1990-09-14,,11500000,136,English
The Silence of the Lambs,1991-01-30,19000000,272700000,118,English
Beauty and the Beast,1991-09-29,25000000,451200000,84,English
Bugsy,1991-12-10,30000000,49100000,137,English
JFK,1991-12-20,40000000,205400000,188,English
The Prince of Tides,1991-12-25,30000000,135000000,132,English
Boyz n the Hood,1991-07-02,,57500000,112,English
Thelma & Louise,1991-05-20,16500000,45400000,129,English
Cape Fear,1991-11-13,35000000,182300000,128,English
The Fisher King,1991-09-20,24000000,72400000,137,English
Rambling Rose,1991-09-20,7500000,6300000,112,English
For the Boys,1991-11-22,40000000,23200000,138,English
City Slickers,1991-06-07,26000000,179000000,114,English
Barton Fink,1991-05-18,9000000,6200000,116,English
Fried Green Tomatoes,1991-12-27,11000000,119400000,130,English
Grand Canyon,1991-12-25,,40991329,137,English
Europa Europa,1990-11-14,,5575738,112,German
Mediterraneo,1991-01-31,,4500000,96,Italian
Children of Nature,1991-08-01,,,82,Icelandic
The Elementary School,1991-08-01,,,100,Czech
The Ox,1992-11-22,,,92,Swedish
Raise the Red Lantern,1991-09-10,1000000,,125,Mandarin
In the Shadow of the Stars,1991-08-14,,,93,English
Death on the Job,1999-09-19,,,,English
Doing Time: Life Inside the Big House,1991-02-12,,,60,English
The Restless Conscience: Resistance to Hitler Within Germany 1933–1945,1999-09-19,,,113,English
Wild by Law,1999-09-19,,,,English
"Deadly Deception: General Electric, Nuclear Weapons and Our Environment",1999-09-19,,,27,English
Birdnesters of Thailand,1999-09-19,,,26,French
A Little Vicious,1991-05-22,,,30,English
The Mark of the Maker,1999-09-19,,,,English
Memorial: Letters from American Soldiers,1999-09-19,,,,English
Session Man,1999-09-19,,,31,English
Manipulation,1999-09-19,,,7,English
Blackfly,1999-09-19,,,5,English
Robin Hood: Prince of Thieves,1991-06-14,,390500000,143,English
Hook,1991-12-11,70000000,300900000,142,English
Terminator 2: Judgment Day,1991-07-01,,,137,English
Backdraft,1991-05-24,40000000,152400000,137,English
Star Trek VI:The Undiscovered Country,1991-12-06,30000000,96800000,110,English
The Addams Family,1991-11-22,30000000,191500000,99,English
Madame Bovary,1991-04-03,,,143,French
The Commitments,1991-08-06,,14900000,118,English
Unforgiven,1992-08-03,14400000,159200000,131,English
The Crying Game,1992-09-02,2300000,71000000,111,English
A Few Good Men,1992-12-09,,243200000,138,English
Howards End,1992-02-27,8000000,32000000,142,English
Scent of a Woman,1992-12-23,31000000,134100000,156,English
The Player,1992-04-03,8000000,28900000,124,English
Chaplin,1992-12-17,31000000,12000000,145,English
Malcolm X,1992-11-18,35000000,73000000,202,English
Indochine,1992-04-15,,29600000,159,French
Passion Fish,1992-12-09,5000000,4000000,135,English
Love Field,1992-12-11,,1000000,102,English
Lorenzo's Oil,1992-12-30,30000000,7200000,125,English
Glengarry Glen Ross,1992-10-02,12500000,10700000,100,English
Mr. Saturday Night,1992-09-23,43000000,23000000,119,English
My Cousin Vinny,1992-03-13,11000000,64100000,119,English
Husbands and Wives,1992-09-14,,10600000,108,English
Enchanted April,1991-11-06,,13200000,95,English
Damage,1992-12-09,,31000000,111,English
A River Runs Through It,1992-09-11,12000000,66000000,123,English
UrgaClose to Eden,1999-09-19,,,118,Mongolian
Daens,1999-09-19,,490000,138,Dutch
Schtonk!,1999-09-19,,1900000,115,German
A Place in the World,1992-04-09,,,120,Spanish
The Panama Deception,1992-07-31,,,91,English
Changing Our Minds: The Story of Dr. Evelyn Hooker,1999-09-19,,,77,English
Fires of Kuwait,1999-09-19,,,36,English
The Liberators: Fighting on Two Fronts in World War II,1992-11-11,,,90,English
Music for the Movies: Bernard Herrmann,1999-09-19,,,,English
Educating Peter,1992-12-15,,,30,English
At the Edge of Conquest: The Journey of Chief Wai-Wai,1999-09-19,,,,English
Beyond Imagining: Margaret Anderson and the 'Little Review',1999-09-19,,,30,English
The Colours of My Father: A Portrait of Sam Borenstein,1999-09-19,,,29,English
When Abortion Is Illegal: Untold Stories,1999-09-19,,,28,English
Omnibus,1999-09-19,,,8,French
Contact,1992-07-23,,,30,English
Swan Song,1999-09-19,,,23,English
Mona Lisa Descending a Staircase,1999-09-19,,,7,English
Adam,1992-04-09,,,6,English
Aladdin,1992-11-11,28000000,504100000,90,English
Basic Instinct,1992-03-18,49000000,352900000,128,English
The Bodyguard,1992-11-23,25000000,411000000,129,English
The Mambo Kings,1992-02-07,15500000,6700000,104,English
Bram Stoker's Dracula,1992-11-13,40000000,215900000,128,English
Under Siege,1992-10-09,30000000,156600000,103,English
The Last of the Mohicans,1992-08-26,40000000,143000000,112,English
Toys,1992-12-18,50000000,23300000,122,English
Hoffa,1992-12-25,35000000,29300000,140,English
The Lover,1992-01-22,30000000,31800000,115,English
Batman Returns,1992-06-16,,266800000,126,English
Death Becomes Her,1992-07-31,55000000,149000000,104,English
Alien 3,1992-05-22,,,114,English
Schindler's List,1993-11-30,22000000,322200000,195,English
The Fugitive,1993-07-29,44000000,368900000,130,English
In the Name of the Father,1993-12-27,13000000,65800000,133,English
The Piano,1993-05-15,7000000,140000000,117,English
The Remains of the Day,1993-10-25,15000000,63900000,134,English
Short Cuts,1993-10-03,12000000,6100000,188,English
Philadelphia,1993-12-14,26000000,206700000,126,English
What's Love Got to Do with It,1993-06-06,15000000,61000000,118,English
Six Degrees of Separation,1993-12-08,15000000,6400000,112,English
Shadowlands,1993-12-25,22000000,52000000,131,English
What's Eating Gilbert Grape,1993-12-17,11000000,10000000,118,English
In the Line of Fire,1993-07-09,40000000,187000000,128,English
The Firm,1993-06-30,42000000,270200000,154,English
Fearless,1993-10-15,20000000,7000000,122,English
The Age of Innocence,1993-09-17,34000000,68000000,139,English
Dave,1993-05-07,28000000,92000000,110,English
Sleepless in Seattle,1993-06-25,21000000,227900000,105,English
Belle Époque,1992-12-04,,11000000,109,Spanish
Farewell My Concubine,1993-01-01,4000000,30000000,171,Mandarin
Hedd Wyn,1999-09-19,,,123,Welsh
The Scent of Green Papaya,1993-06-08,,1700992,104,Vietnamese
The Wedding Banquet,1999-09-19,1000000,23600000,106,Mandarin
I Am a Promise,1999-09-19,,,88,English
The Broadcast Tapes of Dr. Peter,1993-07-01,,,45,English
Children of Fate: Life and Death in a Sicilian Family,1999-09-19,,,85,English
For Better or For Worse,1999-09-19,,,57,English
The War Room,1993-12-05,,901668,96,English
Defending Our Lives,1999-09-19,,,30,English
Blood Ties: The Life and Work of Sally Mann,1999-09-19,,,30,English
Chicks in White Satin,1999-09-19,,,25,English
Schwarzfahrer,1993-02-11,,,12,German
The Wrong Trousers,1993-12-26,650000,,29,English
The Mighty River,1999-09-19,,,24,English
The Village,1999-09-19,,,15,English
Poetic Justice,1993-07-23,14000000,27500000,109,English
Beethoven's 2nd,1993-12-17,15000000,118200000,89,English
Jurassic Park,1993-06-09,63000000,1058000000,127,English
Cliffhanger,1993-05-20,70000000,255000000,113,English
Geronimo: An American Legend,1993-12-10,35000000,18600000,115,English
Addams Family Values,1993-11-19,47000000,111000000,94,English
Orlando,1992-09-01,4000000,13000000,93,English
Mrs. Doubtfire,1993-11-24,25000000,441300000,120,English
Searching for Bobby Fischer,1993-08-11,12000000,7266383,109,English
The Nightmare Before Christmas,1993-10-09,18000000,107800000,76,English
Forrest Gump,1994-06-23,55000000,678200000,142,English
Four Weddings and a Funeral,1994-01-20,,218.5,117,English
Pulp Fiction,1994-05-21,,213900000,154,English
Quiz Show,1994-09-14,31000000,52200000,133,English
The Shawshank Redemption,1994-09-10,25000000,73300000,142,English
Bullets Over Broadway,1994-09-04,20000000,37500000,98,English
Three Colours: Red,1994-05-12,,4000000,99,French
The Madness of King George,1994-12-28,,27400000,110,English
Nobody's Fool,1994-12-23,20000000,39500000,110,English
Blue Sky,1994-09-28,,3400000,101,English
Nell,1994-12-16,24500000,106700000,112,English
Tom & Viv,1994-04-15,7000000,750000,115,English
Little Women,1994-12-25,,95000000,119,English
The Client,1994-07-20,45000000,117600000,121,English
Ed Wood,1994-09-24,18000000,13800000,127,English
Heavenly Creatures,1994-10-14,5000000,5400000,99,English
Burnt by the Sun,1994-05-21,3600000,2300000,135,Russian
Before the Rain,1994-09-01,,,113,Macedonian
Eat Drink Man Woman,1994-07-02,,24200000,123,Mandarin
Farinelli,1994-12-07,9000000,11500000,111,Italian
Strawberry and Chocolate,1999-09-19,,,108,Spanish
Maya Lin: A Strong Clear Vision,1999-09-19,,62186,105,English
Complaints of a Dutiful Daughter,1999-09-19,,,44,English
D-Day Remembered,1994-05-25,,,54,English
Freedom on My Mind,1999-09-19,,,105,English
A Great Day in Harlem,1994-09-27,,,60,English
A Time for Justice,1999-09-19,,,38,English
89mm from Europe,1999-09-19,,,12,Russian
Blues Highway,1999-09-19,,,,English
School of the Americas Assassins,1999-09-19,,,13,English
Straight from the Heart,1999-09-19,,,24,English
Franz Kafka's It's a Wonderful Life,1999-09-19,,,23,English
Trevor,1999-09-19,,,23,English
Bob's Birthday,1993-12-26,,,,English
The Monk and the Fish,1999-09-19,,,6,No
The Lion King,1994-06-15,45000000,978800000,88,English
Interview with the Vampire,1994-11-11,60000000,223700000,122,English
Junior,1994-11-23,60000000,108400000,109,English
The Paper,1994-03-18,,48400000,112,English
Speed,1994-06-07,,350400000,116,English
Clear and Present Danger,1994-08-03,62000000,215900000,141,English
Legends of the Fall,1994-12-23,30000000,160600000,133,English
Wyatt Earp,1994-06-24,63000000,55900000,190,English
Mary Shelley's Frankenstein,1994-11-03,45000000,112000000,123,English
"The Adventures of Priscilla, Queen of the Desert",1994-05-15,,29700000,103,English
Maverick,1994-05-20,75000000,183000000,127,English
La Reine Margot,1994-05-13,,20000000,162,French
Hoop Dreams,1994-10-14,700000,11800000,171,English
The Mask,1994-07-29,,351600000,101,English
True Lies,1994-07-12,,378900000,141,English
Braveheart,1995-05-18,,209000000,178,English
Apollo 13,1995-06-30,52000000,355200000,140,English
Babe,1995-08-04,30000000,254100000,92,English
Il Postino: The Postman,1994-09-01,3000000,33000000,108,Italian
Sense and Sensibility,1995-12-13,16000000,135000000,136,English
Dead Man Walking,1995-12-29,11000000,83000000,122,English
Leaving Las Vegas,1995-10-27,,49800000,111,English
Mr. Holland's Opus,1995-12-29,31000000,106300000,143,English
Nixon,1995-12-22,44000000,13700000,192,English
Casino,1995-11-14,,116100000,178,English
The Bridges of Madison County,1995-06-02,22000000,182000000,134,English
The Usual Suspects,1995-01-25,6000000,67000000,106,English
12 Monkeys,1995-12-29,29000000,168800000,129,English
Rob Roy,1995-04-05,28000000,58700000,139,English
Mighty Aphrodite,1995-10-27,15000000,26000000,95,English
Georgia,1995-05-19,,1100000,115,English
Toy Story,1995-11-19,30000000,394400000,81,English
Antonia's Line,1995-09-12,1500000,4200000,102,Dutch
All Things Fair,1995-11-03,25000000,2000000,130,Swedish
Dust of Life,1995-01-18,,,87,French
O Quatrilho,1995-10-20,,,92,Portuguese
L'uomo delle stelle(The Star Maker),1995-09-07,,,113,Italian
The Battle Over Citizen Kane,1996-01-29,,,113,English
Small Wonders,1999-09-19,,20819,77,English
Hank Aaron: Chasing the Dream,1995-04-12,,,120,English
Troublesome Creek: A Midwestern,1999-09-19,,,88,English
One Survivor Remembers,1999-09-19,,,40,English
Jim Dine: A Self-Portrait on the Walls,1999-09-19,,,28,English
The Living Sea,1999-09-19,,,40,English
Never Give Up: The 20th Century Odyssey of Herbert Zipper,1999-09-19,,,40,English
The Shadow of Hate,1995-06-16,,,40,English
Lieberman in Love,1999-09-19,,,39,English
Little Surprises,1999-09-19,,,36,English
A Close Shave,1995-12-24,1300000,,30,nan
Runaway Brain,1995-08-11,,,7,English
Pocahontas,1995-06-10,55000000,346100000,81,English
The American President,1995-11-17,62000000,107900000,113,English
