title,releaseDate,productionCompany
A Dry White Season,1989-09-22,Davros Films Sundance Productions
"Enemies, A Love Story",1989-12-13,Morgan Creek Productions
Steel Magnolias,1989-11-15,Rastar
Parenthood,1989-08-02,Imagine Entertainment
"Sex, Lies, and Videotape",1989-01-20,Outlaw Productions
When Harry Met Sally...,1989-07-21,Castle Rock Entertainment
When Harry Met Sally...,1989-07-21,Nelson Entertainment
Cinema Paradiso,1988-11-17,Les Films Ariane RAI TF1 Cristaldi Film Forum Picture
Lo que le pasó a Santiago,1999-09-19,Taleski Studios Inc. Dios los Cria Inc. Bacalao Inc.
Common Threads: Stories from the Quilt,1999-09-19,Telling Pictures
The Johnstown Flood,1999-09-19,Guggenheim Productions
Work Experience,1999-09-19,North Inch Production
The Little Mermaid,1989-11-17,Walt Disney Feature Animation
Indiana Jones and the Last Crusade,1989-05-24,Lucasfilm Ltd.
Black Rain,1989-09-22,Jaffe-Lansing Productions
Black Rain,1989-09-22,Pegasus Film Partners
Lethal Weapon 2,1989-07-07,Silver Pictures
The Abyss,1989-08-09,20th Century Fox
Batman,1989-06-19,Warner Bros.
Batman,1989-06-19,Guber-Peters Company
Batman,1989-06-19,PolyGram Pictures
The Adventures of Baron Munchausen,1988-12-08,Allied Filmmakers
The Adventures of Baron Munchausen,1988-12-08,Laura Film
The Adventures of Baron Munchausen,1988-12-08,Prominent Features
Blaze,1989-12-13,Touchstone Pictures
Blaze,1989-12-13,Silver Screen Partners IV
Blaze,1989-12-13,A&M Films
Dad,1989-10-27,Amblin Entertainment Ubu Productions
Harlem Nights,1989-11-17,Eddie Murphy Productions
Valmont,1989-11-17,Renn Productions
Valmont,1989-11-17,Timothy Burrill Productions
The Bear,1988-10-19,Price Entertainment Renn Productions
Back to the Future Part II,1989-11-22,Amblin Entertainment
Dances With Wolves,1990-10-19,Tig Productions
Dances With Wolves,1990-10-19,Majestic Films International
Awakenings,1990-12-22,Lasker/Parkes Productions
Ghost,1990-07-13,Paramount Pictures
Ghost,1990-07-13,Howard W. Koch Productions
The Godfather Part III,1990-12-20,Paramount Pictures
The Godfather Part III,1990-12-20,Zoetrope Studios
GoodFellas,1990-09-09,Warner Bros.
GoodFellas,1990-09-09,Irwin Winkler Productions
The Grifters,1990-12-07,Cineplex Odeon Films
Reversal of Fortune,1990-09-12,"Reversal Films, Inc."
Reversal of Fortune,1990-09-12,Sovereign Pictures
Reversal of Fortune,1990-09-12,Shochiku Fuji Co. Ltd.
The Field,1990-09-21,Granada Television Noel Pearson Sovereign Pictures
Misery,1990-11-30,Castle Rock Entertainment
Misery,1990-11-30,Nelson Entertainment
Pretty Woman,1990-03-23,Touchstone Pictures
Pretty Woman,1990-03-23,Silver Screen Partners IV
Pretty Woman,1990-03-23,Regency International Pictures (uncredited)
Postcards from the Edge,1990-09-14,Columbia Pictures
Mr. & Mrs. Bridge,1990-11-23,Cineplex Odeon Films
Mr. & Mrs. Bridge,1990-11-23,Merchant Ivory Productions
Dick Tracy,1990-06-14,Touchstone Pictures
Dick Tracy,1990-06-14,Silver Screen Partners IV
Dick Tracy,1990-06-14,Mulholland Productions
Wild at Heart,1990-05-19,PolyGram
Wild at Heart,1990-05-19,Propaganda Films
Avalon,1990-10-05,Baltimore Pictures
Green Card,1990-12-23,Touchstone Pictures Australian Film Finance Corporation Lam Ping
Metropolitan,1990-01-20,Westerly Films
Metropolitan,1990-01-20,Allagash Films
Journey of Hope,1999-09-19,Beyond Films Premium Films
Ju Dou,1999-09-19,China Film Co-Production Corporation
Ju Dou,1999-09-19,China Film Export and Import Corp.
Ju Dou,1999-09-19,Tokuma Shoten
Ju Dou,1999-09-19,Tokuma Communications
American Dream,1990-10-06,Cabin Creek Catholic Communication Campaign Channel Four Films
Days of Waiting,1999-09-19,Mouchette Films
Burning Down Tomorrow,1999-09-19,Interscope Communications
Chimps: So Like Us,1999-09-19,Simon & Goodman Picture Company
Journey into Life: The World of the Unborn,1999-09-19,ABC/Kane Productions and Genesis Films
Rose Kennedy: A Life to Remember,1999-09-19,American Film Foundation
The Lunch Date,1999-09-19,Columbia University School of the Arts
12:01 PM,1999-09-19,Chanticleer Films
Dear Rosie,1991-03-15,Channel 4 Television Corporation World's End Productions
A Grand Day Out,1989-11-04,National Film and Television School Aardman Animations
Havana,1990-12-12,Universal Pictures Mirage Enterprises Grimes Production
Home Alone,1990-11-10,20th Century Fox
Home Alone,1990-11-10,Hughes Entertainment
Young Guns II,1990-08-01,Morgan Creek Productions
Days of Thunder,1990-06-27,Don Simpson / Jerry Bruckheimer Films
The Hunt for Red October,1990-03-02,Mace Neufeld Productions
Total Recall,1990-06-01,Carolco Pictures
Flatliners,1990-08-10,Stonebridge Entertainment
Hamlet,1990-12-19,Nelson Entertainment Icon Productions
Edward Scissorhands,1990-12-06,20th Century Fox
Henry & June,1990-09-14,Walrus & Associates
The Silence of the Lambs,1991-01-30,Strong Heart Productions
Beauty and the Beast,1991-09-29,Walt Disney Feature Animation
Bugsy,1991-12-10,Mulholland Productions
Bugsy,1991-12-10,Baltimore Pictures
JFK,1991-12-20,Le Studio Canal+ Regency Enterprises Alcor Films
JFK,1991-12-20,Ixtlan Corporation
Thelma & Louise,1991-05-20,Metro-Goldwyn-Mayer
Thelma & Louise,1991-05-20,Pathé Entertainment
Thelma & Louise,1991-05-20,Percy Main Productions
Thelma & Louise,1991-05-20,Star Partners III Ltd.
Cape Fear,1991-11-13,Amblin Entertainment
Cape Fear,1991-11-13,Cappa Films
Cape Fear,1991-11-13,Tribeca Productions
The Fisher King,1991-09-20,Hill/Obst Productions
Rambling Rose,1991-09-20,Carolco Pictures Midnight Sun Pictures
City Slickers,1991-06-07,Castle Rock Entertainment Face Productions Nelson Entertainment
Barton Fink,1991-05-18,Circle Films
Fried Green Tomatoes,1991-12-27,Avnet/Kerner Productions
Fried Green Tomatoes,1991-12-27,Electric Shadow Productions
Fried Green Tomatoes,1991-12-27,Act III Communications
The Elementary School,1991-08-01,Filmové Studio Barrandov
Raise the Red Lantern,1991-09-10,Era International
Raise the Red Lantern,1991-09-10,China Film Co-Production Corporation
Doing Time: Life Inside the Big House,1991-02-12,Video Vérité
"Deadly Deception: General Electric, Nuclear Weapons and Our Environment",1999-09-19,Women's Educational Media
Birdnesters of Thailand,1999-09-19,Wind Horse Productions
A Little Vicious,1991-05-22,Film and Video Workshop
The Mark of the Maker,1999-09-19,McGowan Film and Video
Memorial: Letters from American Soldiers,1999-09-19,Couturié Company
Session Man,1999-09-19,Chanticleer Films
Manipulation,1999-09-19,Tandem Films
Robin Hood: Prince of Thieves,1991-06-14,Morgan Creek Productions
Hook,1991-12-11,Amblin Entertainment
Terminator 2: Judgment Day,1991-07-01,Carolco Pictures
Terminator 2: Judgment Day,1991-07-01,Pacific Western Productions
Terminator 2: Judgment Day,1991-07-01,Lightstorm Entertainment
Terminator 2: Judgment Day,1991-07-01,Le Studio Canal+
Backdraft,1991-05-24,Imagine Films Entertainment
Backdraft,1991-05-24,Trilogy Entertainment Group
Star Trek VI:The Undiscovered Country,1991-12-06,Paramount Pictures
The Addams Family,1991-11-22,Paramount Pictures
The Commitments,1991-08-06,Beacon Pictures
The Commitments,1991-08-06,The First Film Company
The Commitments,1991-08-06,Dirty Hands Productions
Unforgiven,1992-08-03,Malpaso Productions
The Crying Game,1992-09-02,Palace Pictures
The Crying Game,1992-09-02,Channel Four Films
The Crying Game,1992-09-02,British Screen
The Crying Game,1992-09-02,Nippon Film Development
A Few Good Men,1992-12-09,Castle Rock Entertainment
Howards End,1992-02-27,Merchant Ivory Productions Sumitomo Corporation Imagica Corporation Cinema Ten JSB Japan Satellite 
Scent of a Woman,1992-12-23,City Light Films
The Player,1992-04-03,Avenue Pictures
The Player,1992-04-03,Spelling Entertainment
The Player,1992-04-03,David Brown Productions
The Player,1992-04-03,Addis-Wechsler
Chaplin,1992-12-17,Carolco Pictures
Chaplin,1992-12-17,Le Studio Canal+
Chaplin,1992-12-17,RCS Video
Malcolm X,1992-11-18,40 Acres and a Mule Filmworks
Indochine,1992-04-15,Paradis Films BAC Films Orly Films Ciné Cinq
Lorenzo's Oil,1992-12-30,Kennedy Miller
Glengarry Glen Ross,1992-10-02,Zupnik Enterprises
Mr. Saturday Night,1992-09-23,Castle Rock Entertainment New Line Cinema Face Productions
My Cousin Vinny,1992-03-13,Palo Vista Productions
My Cousin Vinny,1992-03-13,Peter V. Miller Investment Corp.
Husbands and Wives,1992-09-14,TriStar Pictures
Enchanted April,1991-11-06,BBC Films
Damage,1992-12-09,Skreba Films
Damage,1992-12-09,Nouvelles Éditions de Films
Damage,1992-12-09,Le Studio Canal+
Damage,1992-12-09,Channel Four Films
Damage,1992-12-09,The European Co-Production Fund
Damage,1992-12-09,Canal+
UrgaClose to Eden,1999-09-19,Aria Caméra One Centre National de la Cinématographie Hachette Première Ministry of Culture and Com
The Panama Deception,1992-07-31,Empowerment Project
Changing Our Minds: The Story of Dr. Evelyn Hooker,1999-09-19,Intrepid Productions
The Liberators: Fighting on Two Fronts in World War II,1992-11-11,Miles Educational Film Productions
Music for the Movies: Bernard Herrmann,1999-09-19,Alternate Current Les Films d'Ici La Sept
Educating Peter,1992-12-15,"State of the Art, Inc."
At the Edge of Conquest: The Journey of Chief Wai-Wai,1999-09-19,Realis Pictures
When Abortion Is Illegal: Untold Stories,1999-09-19,Concentric Media
Omnibus,1999-09-19,Lazennec Tout Court
Contact,1992-07-23,Chanticleer Films
Mona Lisa Descending a Staircase,1999-09-19,Joan C. Gratz Productions
Adam,1992-04-09,Aardman Animations
Aladdin,1992-11-11,Walt Disney Feature Animation
Basic Instinct,1992-03-18,Carolco Pictures
Basic Instinct,1992-03-18,Le Studio Canal+
The Bodyguard,1992-11-23,Tig Productions
The Bodyguard,1992-11-23,Kasdan Pictures
The Mambo Kings,1992-02-07,Le Studio Canal+
The Mambo Kings,1992-02-07,Regency Enterprises
The Mambo Kings,1992-02-07,Alcor Films
The Mambo Kings,1992-02-07,Northwest Productions
Bram Stoker's Dracula,1992-11-13,American Zoetrope
Bram Stoker's Dracula,1992-11-13,Osiris Films
Under Siege,1992-10-09,Regency Enterprises
Under Siege,1992-10-09,Le Studio Canal +
Under Siege,1992-10-09,Alcor Films
The Last of the Mohicans,1992-08-26,Morgan Creek Productions
Toys,1992-12-18,Baltimore Pictures
Hoffa,1992-12-25,Jersey Films
The Lover,1992-01-22,Films A2
The Lover,1992-01-22,Renn Productions
The Lover,1992-01-22,Burrill Productions
Batman Returns,1992-06-16,Warner Bros.
Batman Returns,1992-06-16,PolyGram Pictures
Alien 3,1992-05-22,Brandywine Productions
Schindler's List,1993-11-30,Universal Pictures
Schindler's List,1993-11-30,Amblin Entertainment
The Fugitive,1993-07-29,Kopelson Entertainment
In the Name of the Father,1993-12-27,Hell's Kitchen Films
The Piano,1993-05-15,Jan Chapman Productions CiBy 2000
The Remains of the Day,1993-10-25,Merchant Ivory Productions
Short Cuts,1993-10-03,Spelling Films International
Short Cuts,1993-10-03,Cary Brokaw Productions
Short Cuts,1993-10-03,Avenue Pictures
Philadelphia,1993-12-14,Clinica Estetico Productions
What's Love Got to Do with It,1993-06-06,Touchstone Pictures
Six Degrees of Separation,1993-12-08,Maiden Movies
Six Degrees of Separation,1993-12-08,New Regency
Shadowlands,1993-12-25,Price Entertainment Spelling Films International
What's Eating Gilbert Grape,1993-12-17,Matalon Teper Ohlsson
In the Line of Fire,1993-07-09,Castle Rock Entertainment
In the Line of Fire,1993-07-09,Apple-Rose Productions
The Firm,1993-06-30,Davis Entertainment
The Firm,1993-06-30,Scott Rudin Productions
The Firm,1993-06-30,Mirage Enterprises
The Age of Innocence,1993-09-17,Cappa Productions
Dave,1993-05-07,Northern Lights Entertainment Donner/Shuler-Donner
Belle Époque,1992-12-04,Fernando Trueba PC
Belle Époque,1992-12-04,Lola Films
Belle Époque,1992-12-04,Animatógrafo
Belle Époque,1992-12-04,French Production
Farewell My Concubine,1993-01-01,Beijing Film Studio
Farewell My Concubine,1993-01-01,China Film Co-Production Corporation
Farewell My Concubine,1993-01-01,Tomson Films
Farewell My Concubine,1993-01-01,Maverick Picture Company
The Wedding Banquet,1999-09-19,Good Machine Central Motion Picture Corporation
I Am a Promise,1999-09-19,Video Verite Films
The Broadcast Tapes of Dr. Peter,1993-07-01,Paperny Films
Children of Fate: Life and Death in a Sicilian Family,1999-09-19,Archipelago Films
The War Room,1993-12-05,Pennebaker Associates
The War Room,1993-12-05,McEttinger Films
The War Room,1993-12-05,Cyclone Films
Defending Our Lives,1999-09-19,Cambridge Documentary Films
Blood Ties: The Life and Work of Sally Mann,1999-09-19,Moving Target Prods.
Chicks in White Satin,1999-09-19,USC School of Cinema-Television
Schwarzfahrer,1993-02-11,Trans-Film
The Wrong Trousers,1993-12-26,Aardman Animations Wallace and Gromit Ltd. BBC Bristol Lionheart Television BBC Children's Internat
The Mighty River,1999-09-19,Société Radio-Canada
The Village,1999-09-19,Pizazz Pictures
Poetic Justice,1993-07-23,Columbia Pictures
Beethoven's 2nd,1993-12-17,Northern Lights Entertainment
Jurassic Park,1993-06-09,Universal Pictures Amblin Entertainment
Cliffhanger,1993-05-20,Carolco Pictures
Cliffhanger,1993-05-20,Le Studio Canal+
Cliffhanger,1993-05-20,Pioneer Corporation
Cliffhanger,1993-05-20,RCS Video
Geronimo: An American Legend,1993-12-10,Columbia Pictures
Addams Family Values,1993-11-19,Scott Rudin Productions
Orlando,1992-09-01,Adventure Pictures
Orlando,1992-09-01,Lenfilm
Orlando,1992-09-01,Mikado Film
Orlando,1992-09-01,Rio
Orlando,1992-09-01,Sigma Film Productions
Mrs. Doubtfire,1993-11-24,20th Century Fox
Mrs. Doubtfire,1993-11-24,Blue Wolf Productions
The Nightmare Before Christmas,1993-10-09,Touchstone Pictures
The Nightmare Before Christmas,1993-10-09,Skellington Productions
Forrest Gump,1994-06-23,The Tisch Company
Four Weddings and a Funeral,1994-01-20,PolyGram Filmed Entertainment
Four Weddings and a Funeral,1994-01-20,Channel Four Films
Four Weddings and a Funeral,1994-01-20,Working Title Films
Pulp Fiction,1994-05-21,A Band Apart
Pulp Fiction,1994-05-21,Jersey Films
Quiz Show,1994-09-14,Hollywood Pictures
Quiz Show,1994-09-14,Michael Jacobs Productions
The Shawshank Redemption,1994-09-10,Castle Rock Entertainment
Bullets Over Broadway,1994-09-04,Sweetland Films
Three Colours: Red,1994-05-12,mk2 Productions SA
Three Colours: Red,1994-05-12,France 3 Cinéma
Three Colours: Red,1994-05-12,CAB Productions SA
Three Colours: Red,1994-05-12,TOR Production
Three Colours: Red,1994-05-12,Canal+
Three Colours: Red,1994-05-12,Télévision Suisse Romande
The Madness of King George,1994-12-28,Channel Four Films
The Madness of King George,1994-12-28,Close Call Films
Nell,1994-12-16,PolyGram Filmed Entertainment Egg Pictures
Little Women,1994-12-25,DiNovi Pictures
The Client,1994-07-20,Regency Enterprises
The Client,1994-07-20,Alcor Films
Ed Wood,1994-09-24,Touchstone Pictures
Heavenly Creatures,1994-10-14,WingNut Films Fontana Productions New Zealand Film Commission
Eat Drink Man Woman,1994-07-02,Ang Lee Pictures
Eat Drink Man Woman,1994-07-02,Central Motion Pictures
Eat Drink Man Woman,1994-07-02,Good Machine
Eat Drink Man Woman,1994-07-02,Xiongfa Film Company
Farinelli,1994-12-07,Stéphan Films MG Italian International Film K2 SA Alinea Films Union Generale Cinematographique Can
Maya Lin: A Strong Clear Vision,1999-09-19,American Film Foundation
A Time for Justice,1999-09-19,Guggenheim Productions
89mm from Europe,1999-09-19,Studio Filmowe Kalejdoskop
Blues Highway,1999-09-19,Half Court Pictures National Geographic Explorer
School of the Americas Assassins,1999-09-19,"Richter Productions, Inc."
Straight from the Heart,1999-09-19,Woman Vision
Franz Kafka's It's a Wonderful Life,1999-09-19,BBC Scotland
Franz Kafka's It's a Wonderful Life,1999-09-19,The Scottish Film Production Fund
Franz Kafka's It's a Wonderful Life,1999-09-19,Conundrum Films
Bob's Birthday,1993-12-26,National Film Board of Canada Channel 4
The Lion King,1994-06-15,Walt Disney Feature Animation
Interview with the Vampire,1994-11-11,The Geffen Film Company
Junior,1994-11-23,Northern Lights Entertainment
The Paper,1994-03-18,Imagine Entertainment
Speed,1994-06-07,Mark Gordon Company 20th Century Fox
Clear and Present Danger,1994-08-03,Mace Neufeld Productions
Legends of the Fall,1994-12-23,TriStar Pictures Bedford Falls Productions
Wyatt Earp,1994-06-24,Kasdan Pictures
Wyatt Earp,1994-06-24,Tig Productions
Mary Shelley's Frankenstein,1994-11-03,TriStar Pictures
Mary Shelley's Frankenstein,1994-11-03,"Japan Satellite Broadcasting, Inc."
Mary Shelley's Frankenstein,1994-11-03,IndieProd Company Productions
Mary Shelley's Frankenstein,1994-11-03,American Zoetrope
"The Adventures of Priscilla, Queen of the Desert",1994-05-15,Latent Image Productions
"The Adventures of Priscilla, Queen of the Desert",1994-05-15,PolyGram Filmed Entertainment
"The Adventures of Priscilla, Queen of the Desert",1994-05-15,Specific Films
Maverick,1994-05-20,Icon Productions
Maverick,1994-05-20,Donner/Shuler-Donner Productions
La Reine Margot,1994-05-13,Renn Productions
La Reine Margot,1994-05-13,France 2 Cinéma
La Reine Margot,1994-05-13,D.A. Films
La Reine Margot,1994-05-13,N.E.F. Filmproduktion
La Reine Margot,1994-05-13,Degeto
La Reine Margot,1994-05-13,ARD
La Reine Margot,1994-05-13,WMG
La Reine Margot,1994-05-13,RCS Films & TV
Hoop Dreams,1994-10-14,Kartemquin Films
The Mask,1994-07-29,Dark Horse Entertainment Katja Motion Picture Corporation
True Lies,1994-07-12,Lightstorm Entertainment
Braveheart,1995-05-18,Icon Productions
Braveheart,1995-05-18,The Ladd Company
Apollo 13,1995-06-30,Imagine Entertainment
Babe,1995-08-04,Kennedy Miller Productions
Il Postino: The Postman,1994-09-01,Cecchi Gori Group Tiger Cinematografica Penta Film Esterno Mediterraneo Film Blue Dahlia Production
Sense and Sensibility,1995-12-13,Columbia Pictures
Sense and Sensibility,1995-12-13,Mirage Enterprises
Dead Man Walking,1995-12-29,Working Title Films Havoc
Leaving Las Vegas,1995-10-27,United Artists Lumiére Pictures
Mr. Holland's Opus,1995-12-29,Hollywood Pictures Interscope Communications PolyGram Filmed Entertainment
Nixon,1995-12-22,Hollywood Pictures Illusion Entertainment Group Cinergi Pictures
Casino,1995-11-14,Universal Pictures
Casino,1995-11-14,Syalis D.A.
Casino,1995-11-14,Légende Entreprises
Casino,1995-11-14,De Fina/Cappa
The Bridges of Madison County,1995-06-02,Amblin Entertainment
The Bridges of Madison County,1995-06-02,Malpaso Productions
The Usual Suspects,1995-01-25,PolyGram Filmed Entertainment
The Usual Suspects,1995-01-25,Bad Hat Harry Films
The Usual Suspects,1995-01-25,Blue Parrot Productions
The Usual Suspects,1995-01-25,Spelling Films International
The Usual Suspects,1995-01-25,Gramercy Pictures
12 Monkeys,1995-12-29,Atlas Entertainment
12 Monkeys,1995-12-29,Classico Entertainment
Rob Roy,1995-04-05,United Artists
Mighty Aphrodite,1995-10-27,Sweetland Films
Toy Story,1995-11-19,Pixar Animation Studios
O Quatrilho,1995-10-20,Filmes do Equador
O Quatrilho,1995-10-20,L. C. Barreto
L'uomo delle stelle(The Star Maker),1995-09-07,Cecchi Gori Group RAI-Radiotelevisione Italiana
The Battle Over Citizen Kane,1996-01-29,Lennon Documentary Group
Small Wonders,1999-09-19,Four Oaks Foundation
Hank Aaron: Chasing the Dream,1995-04-12,Turner Entertainment Tollin/Robbins Productions Mundy Lane Entertainment
Troublesome Creek: A Midwestern,1999-09-19,West City Films
Jim Dine: A Self-Portrait on the Walls,1999-09-19,"Outside In July, Inc."
Never Give Up: The 20th Century Odyssey of Herbert Zipper,1999-09-19,American Film Foundation
Lieberman in Love,1999-09-19,Chanticleer Films
Little Surprises,1999-09-19,Chanticleer Films
A Close Shave,1995-12-24,Aardman Animations
A Close Shave,1995-12-24,Wallace and Gromit Ltd.
A Close Shave,1995-12-24,BBC Bristol
A Close Shave,1995-12-24,BBC Children's International
Runaway Brain,1995-08-11,Walt Disney Feature Animation
Pocahontas,1995-06-10,Walt Disney Feature Animation
The American President,1995-11-17,Castle Rock Entertainment
The American President,1995-11-17,Universal Pictures
The American President,1995-11-17,Wildwood Enterprises
Sabrina,1995-12-15,Mirage Enterprises
Sabrina,1995-12-15,Sandollar Productions
Unstrung Heroes,1995-09-15,Hollywood Pictures
Don Juan DeMarco,1995-04-07,American Zoetrope
Batman Forever,1995-06-09,PolyGram Pictures
Batman Forever,1995-06-09,Tim Burton Productions
Crimson Tide,1995-05-12,Hollywood Pictures
Crimson Tide,1995-05-12,Don Simpson/Jerry Bruckheimer Films
Waterworld,1995-07-28,Gordon Company
Waterworld,1995-07-28,Davis Entertainment
Waterworld,1995-07-28,Licht/Mueller Film Corporation
Restoration,1995-12-29,Segue Productions
Restoration,1995-12-29,Avenue Pictures
Restoration,1995-12-29,The Oxford Film Company
A Little Princess,1995-05-10,Baltimore Pictures
Richard III,1995-12-29,United Artists
Richard III,1995-12-29,Bayly/Paré Productions
Richard III,1995-12-29,British Screen
Richard III,1995-12-29,First Look International
My Family,1995-05-03,American Playhouse American Zoetrope Majestic Films International Newcomb Productions
Roommates,1995-03-03,Hollywood Pictures Interscope Communications PolyGram Filmed Entertainment Nomura Babcock & Brown
Seven,1995-09-22,Arnold Kopelson Productions
The English Patient,1996-11-15,Tiger Moth Productions
Fargo,1996-03-08,Working Title Films
Jerry Maguire,1996-12-13,TriStar Pictures Gracie Films Vinyl Films
Secrets & Lies,1996-05-10,Thin Man Films
Secrets & Lies,1996-05-10,Ciby 2000
Secrets & Lies,1996-05-10,Channel Four Films
Shine,1996-01-21,South Australian Film Corporation
Shine,1996-01-21,Film Victoria
Shine,1996-01-21,Australian Film Finance Corporation
Shine,1996-01-21,Pandora Cinema
Shine,1996-01-21,BBC Films
The People vs. Larry Flynt,1996-10-13,Columbia Pictures
The People vs. Larry Flynt,1996-10-13,Phoenix Pictures
Sling Blade,1996-11-27,The Shooting Gallery
Marvin's Room,1996-12-18,Scott Rudin Productions Tribeca Productions
Breaking the Waves,1996-05-18,Zentropa
Primal Fear,1996-04-01,Rysher Entertainment
Ghosts of Mississippi,1996-12-20,Columbia Pictures Castle Rock Entertainment
The Mirror Has Two Faces,1996-11-15,TriStar Pictures
The Portrait of a Lady,1996-08-28,PolyGram Filmed Entertainment
Lone Star,1996-03-14,Castle Rock Entertainment Columbia Pictures Rio Dulce
Lone Star,1996-03-14,Castle Rock Entertainment
Lone Star,1996-03-14,Columbia Pictures
Lone Star,1996-03-14,Rio Dulce
Hamlet,1996-12-25,Castle Rock Entertainment
Trainspotting,1996-02-23,Channel Four Films
Trainspotting,1996-02-23,Figment Films
Trainspotting,1996-02-23,Noel Gay Motion Picture Company
Kolya,1996-05-15,Biograf Jan Svěrák Pandora Cinema Česká Televize CinemArt Portobello Pictures Space Films
When We Were Kings,1999-09-19,PolyGram Filmed Entertainment
Mandela,1996-10-11,Clinica Estetico Island Pictures
Breathing Lessons: The Life and Work of Mark O'Brien,1999-09-19,Inscrutable Films Pacific News Service
Cosmic Voyage,1999-09-19,Cosmic Voyage Inc.
An Essay on Matisse,1999-09-19,Great Projects Film Company
Special Effects: Anything Can Happen,1996-07-04,NOVA Giant Screen Films
The Wild Bunch: An Album in Montage,1999-09-19,Tyrus Entertainment
Dear Diary,1999-09-19,DreamWorks Television
La Salla,1999-09-19,National Film Board of Canada
Wat's Pig,1996-04-10,Aardman Animations Channel Four Films
Michael Collins,1996-08-28,The Geffen Film Company
Michael Collins,1996-08-28,Warner Bros.
Michael Collins,1996-08-28,Irish Film Board
Sleepers,1996-10-18,PolyGram Filmed Entertainment
Sleepers,1996-10-18,Propaganda Films
Sleepers,1996-10-18,Baltimore Pictures
Sleepers,1996-10-18,Astoria Films
Emma,1996-06-07,Matchmaker Films Haft Entertainment
The First Wives Club,1996-09-20,Scott Rudin Productions
The Hunchback of Notre Dame,1996-06-19,Walt Disney Feature Animation
James and the Giant Peach,1996-04-12,Walt Disney Pictures Allied Filmmakers Skellington Productions
The Preacher's Wife,1996-12-13,Touchstone Pictures The Samuel Goldwyn Company Parkway Productions Mundy Lane Entertainment
Evita,1996-12-14,Hollywood Pictures
Evita,1996-12-14,Cinergi Pictures
Evita,1996-12-14,Patagonik Film Group
Evita,1996-12-14,RSO Films
Evita,1996-12-14,Dirty Hands Productions
One Fine Day,1996-12-20,Lynda Obst Productions
One Fine Day,1996-12-20,Via Rosa Productions
That Thing You Do!,1996-10-04,Clinica Estetico
That Thing You Do!,1996-10-04,Clavius Base
Up Close & Personal,1996-03-01,Touchstone Pictures
Up Close & Personal,1996-03-01,Cinergi Pictures
Up Close & Personal,1996-03-01,Avnet/Kerner Productions
The Ghost and the Darkness,1996-10-11,Constellation Films
The Ghost and the Darkness,1996-10-11,Douglas/Reuther Productions
Daylight,1996-12-06,Davis Entertainment
Eraser,1996-06-11,Kopelson Entertainment
Independence Day,1996-06-25,20th Century Fox Centropolis Entertainment
The Rock,1996-06-07,Hollywood Pictures
The Rock,1996-06-07,Don Simpson/Jerry Bruckheimer Films
Twister,1996-05-10,Warner Bros.
Twister,1996-05-10,Universal Pictures
Twister,1996-05-10,Amblin Entertainment
The Birdcage,1996-03-08,United Artists
The Birdcage,1996-03-08,Nichols Film Company
William Shakespeare's Romeo + Juliet,1996-10-27,Bazmark Productions
Fly Away Home,1996-09-13,Columbia Pictures Sandollar The Saul Zaentz Film Center
The Nutty Professor,1996-06-28,Imagine Entertainment Eddie Murphy Productions
Star Trek: First Contact,1996-11-22,Paramount Pictures
Angels and Insects,1995-11-05,Playhouse International Pictures The Samuel Goldwyn Company
Titanic,1997-11-01,Paramount Pictures
Titanic,1997-11-01,20th Century Fox
Titanic,1997-11-01,Lightstorm Entertainment
As Good as It Gets,1997-12-06,TriStar Pictures
As Good as It Gets,1997-12-06,Gracie Films
The Full Monty,1997-08-13,Redwave Films Channel Four Films
Good Will Hunting,1997-12-02,Be Gentlemen
L.A. Confidential,1997-05-14,Regency Enterprises The Wolper Organization
The Sweet Hereafter,1997-05-14,Ego Film Arts
The Apostle,1997-09-06,Butcher's Run Films
Ulee's Gold,1997-06-13,Motion Picture Corporation of America Clinica Estetico Nunez-Gowan
Wag the Dog,1997-12-17,Baltimore Pictures
Wag the Dog,1997-12-17,TriBeCa Productions
The Wings of the Dove,1997-11-07,Renaissance Dove
Mrs Brown,1997-07-18,BBC Films Ecosse Films
Jackie Brown,1997-12-08,A Band Apart
Amistad,1997-12-10,HBO Pictures
Boogie Nights,1997-09-11,Lawrence Gordon Productions
Boogie Nights,1997-09-11,Ghoulardi Film Company
In & Out,1997-09-19,Spelling Films
Deconstructing Harry,1997-08-27,Sweetland Films
Donnie Brasco,1997-02-24,TriStar Pictures
Donnie Brasco,1997-02-24,Mandalay Entertainment
Donnie Brasco,1997-02-24,Baltimore Pictures
Donnie Brasco,1997-02-24,Mark Johnson Productions
Character,1997-04-17,First Floor Features
Jenseits der Stille,1996-12-19,Claussen + Wöbke Filmproduktion
Jenseits der Stille,1996-12-19,Roxy Film
Four Days in September,1997-04-19,Filmes do Equador Luiz Carlos Barreto Produções Cinematográficas
The Long Way Home,1997-09-19,Moriah Films
4 Little Girls,1997-07-09,40 Acres & A Mule Filmworks HBO
Colors Straight Up,1999-09-19,Echo Pictures
A Story of Healing,1999-09-19,Dewey-Obenchain Films
Alaska: Spirit of the Wild,1999-09-19,Graphic Films
Family Video Diaries: Daughter of the Bride,1997-11-05,Terri Randall Film & Video Productions
Visas and Virtue,1999-09-19,Cedar Grove Productions
Dance Lexie Dance,1999-09-19,Raw Nerve Productions
Geri's Game,1997-11-24,Pixar Animation Studios
