title,releasedate,budget,boxOffice,runtime,movieLanguage
Our Dancing Daughters,1928-09-01,"$178,000","$1,099,000",85,Sound
Sal of Singapore,1928-11-04,,,70,Sound
Skyscraper,1928-04-08,,,68,Silent
The Valiant,1929-05-19,,,66,English
A Woman of Affairs,1928-12-15,"$ 328,687.77","$ 1,370,000",91,Sound
Wonder of Women,1929-07-13,,,95,Sound
The Bridge of San Luis Rey,1929-03-30,,,86,Sound
Alibi,1929-04-20,,,90,English
The Awakening,1928-11-17,,,90,Sound
Dynamite,1929-12-13,,,129,English
The Patriot,1928-08-17,$1 million,,113,Sound
Street Angel,1928-04-09,,$1.7 million,102,Sound
White Shadows in the South Seas,1928-11-10,"$365,000",$1.6 million,89,Sound
4 Devils,1928-10-03,,,100,Sound
The Divine Lady,1928-12-26,,,99,Sound
In Old Arizona,1928-12-25,,$1.3 million,95,English
Our Dancing Daughters,1928-09-01,"$178,000","$1,099,000",85,Sound
Street Angel,1928-04-09,,$1.7 million,102,Sound
